panel,K,schedule_type,fixed_parent_lots,relative_time,child_times_relative,component,mean,ci_low,ci_high,n,artifact_provenance,sign_convention
fixed_parent_do0_subtracted_path,2,twap,-130,120.0,0;1,do0_subtracted_price_path,2.51,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_002/summary_metaorder_step030_slices002_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,0.0,0;1;2;3;4,do0_subtracted_price_path,0.0,0.0,0.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,5.0,0;1;2;3;4,do0_subtracted_price_path,4.0075,0.5,7.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,10.0,0;1;2;3;4,do0_subtracted_price_path,3.395,0.0,6.512500000000003,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,15.0,0;1;2;3;4,do0_subtracted_price_path,3.2525,0.0,6.012500000000003,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,20.0,0;1;2;3;4,do0_subtracted_price_path,3.155,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,25.0,0;1;2;3;4,do0_subtracted_price_path,3.08,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,30.0,0;1;2;3;4,do0_subtracted_price_path,3.0025,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,35.0,0;1;2;3;4,do0_subtracted_price_path,2.9925,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,40.0,0;1;2;3;4,do0_subtracted_price_path,2.9025,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,45.0,0;1;2;3;4,do0_subtracted_price_path,2.8875,0.0,5.5,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,50.0,0;1;2;3;4,do0_subtracted_price_path,2.7775,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,55.0,0;1;2;3;4,do0_subtracted_price_path,2.6525,0.0,5.512500000000003,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,60.0,0;1;2;3;4,do0_subtracted_price_path,2.655,0.0,5.012500000000003,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,65.0,0;1;2;3;4,do0_subtracted_price_path,2.67,0.0,5.512500000000003,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
fixed_parent_do0_subtracted_path,5,twap,-130,70.0,0;1;2;3;4,do0_subtracted_price_path,2.6575,0.0,6.0,200,data/market_impact_study/strategic_groundtruth/metaorder_stage1_slices_n200_s0_balanced/step_030/slices_005/summary_metaorder_step030_slices005_paths.npz,"Q=-X_sim; fixed plotted parent Q=-130 in stored intervention-lots coordinates; y-axis is do(Q,K) branch price path minus do(0)"
