liquidity_scale,q_economic_intended,mean,std,count,ci_low,ci_high,outcome,support_rate,clipping_rate,panel,x,x_min,x_max,n,setting_id,setting_label,source_run_name,horizon,proxy,proxy_label,proxy_long_label,outcome_label,r2,beta,artifact_provenance
10.0,260.0,0.8916666666666667,0.8834239373637917,60.0,0.668129568459338,1.1152037648739954,terminal_total,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-260.0,-4.683333333333334,0.3184531823966139,60.0,-4.763913106301964,-4.602753560364703,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-160.0,-2.941666666666667,0.20772510082829249,60.0,-2.9942283692650196,-2.889104964068314,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-100.0,-1.95,0.19957582136766033,60.0,-2.0004996503875576,-1.8995003496124425,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-60.0,-1.4166666666666667,0.22860421475915466,60.0,-1.4745115140201555,-1.358821819313178,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-30.0,-0.8666666666666667,0.24123036789649893,60.0,-0.9277063715675584,-0.805626961765775,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-10.0,-0.4,0.22170372656516474,60.0,-0.45609878293089506,-0.343901217069105,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-0.0,0.0,0.0,60.0,0.0,0.0,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,10.0,0.425,0.22218102254616845,60.0,0.3687804445225765,0.48121955547742346,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,30.0,0.9083333333333333,0.2345508991536492,60.0,0.8489837672176762,0.9676828994489904,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,60.0,1.4166666666666667,0.22860421475915468,60.0,1.358821819313178,1.4745115140201555,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,100.0,1.9916666666666667,0.17201859050761342,60.0,1.9481399577634282,2.0351933755699054,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,160.0,2.9833333333333334,0.18334617315079016,60.0,2.936940350553347,3.0297263161133197,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,260.0,4.75,0.32547227745205987,60.0,4.6676441509320306,4.8323558490679694,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-260.0,-2.4916666666666667,0.06454972243679025,60.0,-2.508,-2.4753333333333334,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-160.0,-1.5,0.0,60.0,-1.5,-1.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-100.0,-1.025,0.10989208882554136,60.0,-1.052806535020216,-0.9971934649797838,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-60.0,-0.9916666666666667,0.06454972243679026,60.0,-1.008,-0.9753333333333334,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-30.0,-0.5,0.0,60.0,-0.5,-0.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-10.0,-0.125,0.2183334411523432,60.0,-0.1802459830582079,-0.06975401694179209,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-0.0,0.0,0.0,60.0,0.0,0.0,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,10.0,0.175,0.2404973659956538,60.0,0.11414577017054942,0.23585422982945056,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,30.0,0.5,0.0,60.0,0.5,0.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,60.0,0.9833333333333333,0.09051016735969632,60.0,0.960431101104692,1.0062355655619746,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,100.0,1.0333333333333334,0.12577443714661585,60.0,1.0015080097040998,1.065158656962567,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,160.0,1.5,0.0,60.0,1.5,1.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,260.0,2.5,0.0,60.0,2.5,2.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-260.0,-1.0,0.0,60.0,-1.0,-1.0,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-160.0,-1.0,0.0,60.0,-1.0,-1.0,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-100.0,-0.5,0.0,60.0,-0.5,-0.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-60.0,-0.5,0.0,60.0,-0.5,-0.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-30.0,-0.025,0.10989208882554138,60.0,-0.05280653502021617,0.002806535020216168,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-10.0,0.0,0.0,60.0,0.0,0.0,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-0.0,0.0,0.0,60.0,0.0,0.0,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,10.0,0.0,0.0,60.0,0.0,0.0,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,30.0,0.03333333333333333,0.12577443714661585,60.0,0.0015080097040996235,0.06515865696256704,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,60.0,0.5,0.0,60.0,0.5,0.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,100.0,0.5,0.0,60.0,0.5,0.5,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,160.0,0.9916666666666667,0.06454972243679027,60.0,0.9753333333333334,1.008,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,260.0,1.0,0.0,60.0,1.0,1.0,displayed_mechanics,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-260.0,0.2,3.8578557318097872,60.0,-0.7761721854228487,1.1761721854228486,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-160.0,0.35,2.01750811226395,60.0,-0.16049998754959394,0.8604999875495939,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-100.0,0.4,1.3710073001078993,60.0,0.05308728853134975,0.7469127114686502,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-60.0,0.5583333333333333,0.9570951224650178,60.0,0.31615485329050036,0.8005118133761664,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-30.0,0.5,0.7306834506711821,60.0,0.3151115773944747,0.6848884226055253,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-10.0,0.23333333333333334,0.5325559305923083,60.0,0.09857809032627712,0.36808857634038955,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,-0.0,0.0,0.0,60.0,0.0,0.0,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,10.0,-0.2,0.5538769367079199,60.0,-0.34015020191225265,-0.05984979808774735,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,30.0,-0.4,0.687663693917458,60.0,-0.5740029222431409,-0.22599707775685915,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,60.0,-0.49166666666666664,0.9274151551794358,60.0,-0.7263350788006477,-0.2569982545326856,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,100.0,-0.44166666666666665,1.426420394288773,60.0,-0.8026008255423742,-0.08073250779095903,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,160.0,-0.39166666666666666,2.2905325904737963,60.0,-0.9712513790208892,0.18791804568755593,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
1.5,260.0,-0.25,3.878996025970061,60.0,-1.2315214178943374,0.7315214178943374,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-260.0,0.6,1.6844251647352046,60.0,0.17378162675112735,1.0262183732488726,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-160.0,0.39166666666666666,0.9918808817674727,60.0,0.14068617508154596,0.6426471582517874,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-100.0,0.325,0.6753843852182327,60.0,0.1541041715524017,0.49589582844759833,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
