x,x_min,x_max,mean,ci_low,ci_high,n,setting_id,setting_label,source_run_name,horizon,proxy,proxy_label,proxy_long_label,outcome,outcome_label
-420.0,-420.0,-420.0,4.480208333333334,4.118391378531544,4.842025288135123,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-300.0,-300.0,-300.0,3.1645833333333333,2.9193618621631447,3.409804804503522,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-200.0,-200.0,-200.0,2.169791666666667,2.0058077289894083,2.3337756043439253,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-120.0,-120.0,-120.0,1.4125,1.3038649458848453,1.521135054115155,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-60.0,-60.0,-60.0,0.7947916666666667,0.7222398213125006,0.8673435120208327,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-30.0,-30.0,-30.0,0.38229166666666664,0.33416913188237685,0.43041420145095644,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-10.0,-10.0,-10.0,0.13333333333333333,0.09914221643049159,0.16752445023617507,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
0.0,0.0,0.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
10.0,10.0,10.0,-0.15208333333333332,-0.18896192610540183,-0.11520474056126481,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
30.0,30.0,30.0,-0.415625,-0.4633524128219091,-0.36789758717809096,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
60.0,60.0,60.0,-0.8229166666666666,-0.8963737938441636,-0.7494595394891697,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
120.0,120.0,120.0,-1.3958333333333333,-1.5053466424283466,-1.28632002423832,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
200.0,200.0,200.0,-2.234375,-2.3984083896117894,-2.0703416103882106,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
300.0,300.0,300.0,-3.2270833333333333,-3.47104959222195,-2.9831170744447166,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
420.0,420.0,420.0,-4.695833333333334,-5.056772503888573,-4.334894162778094,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,30.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-420.0,-420.0,-420.0,4.440625,4.072331744408462,4.8089182555915375,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-300.0,-300.0,-300.0,3.111458333333333,2.8607522943102603,3.362164372356406,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-200.0,-200.0,-200.0,2.033333333333333,1.871423004648253,2.1952436620184135,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-120.0,-120.0,-120.0,1.2375,1.1333325105112526,1.3416674894887475,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-60.0,-60.0,-60.0,0.6072916666666667,0.5479547205904385,0.6666286127428949,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-30.0,-30.0,-30.0,0.41041666666666665,0.36176779279342297,0.45906554053991033,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-10.0,-10.0,-10.0,0.109375,0.07529618331306838,0.14345381668693163,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
0.0,0.0,0.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
10.0,10.0,10.0,-0.15729166666666666,-0.19439082328197158,-0.12019251005136175,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
30.0,30.0,30.0,-0.44479166666666664,-0.49242344095563123,-0.39715989237770205,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
