rho_alpha,rho_z,lambda_z,n_rows,residualizer,mean_estimate,bias,rmse,median_abs_error,ci_coverage,median_first_stage_f,weak_iv_failure_rate,n_rep
0.0,0.85,0.05,3000,flexible_crossfit,0.4318270609906544,0.011827060990654368,4.675322934038877,0.3072105491271129,0.958,2.6643452968410823,0.918,500
0.0,0.85,0.05,3000,linear_lag,0.3626773511573135,-0.05732264884268651,3.1872817077251105,0.31360001647566055,0.96,2.6897827826007195,0.922,500
0.0,0.85,0.2,1200,flexible_crossfit,0.39602819623784064,-0.023971803762159336,0.20375893823142313,0.11543053558876229,0.958,16.003245550271913,0.182,500
0.0,0.85,0.2,1200,linear_lag,0.3952556630914115,-0.02474433690858844,0.20306799635590816,0.1168288466947564,0.962,16.4264931515687,0.176,500
0.0,0.85,0.2,3000,flexible_crossfit,0.4159411201050369,-0.004058879894963073,0.11682970110358742,0.07497545082613719,0.948,41.63682363027924,0.0,500
0.0,0.85,0.2,3000,linear_lag,0.41551393115634844,-0.00448606884365151,0.11677415073745347,0.07448134961557834,0.954,41.893059945204385,0.0,500
0.0,0.85,0.5,1200,flexible_crossfit,0.415922142626939,-0.004077857373061012,0.07255975984735491,0.04662949206211306,0.952,101.56669213680976,0.0,500
0.0,0.85,0.5,1200,linear_lag,0.41567230138594685,-0.004327698614053127,0.07233572633776576,0.04734609094305603,0.954,103.65718951613147,0.0,500
0.0,0.85,0.5,3000,flexible_crossfit,0.4206651060770731,0.0006651060770730722,0.04473604295722293,0.028753990186792977,0.946,258.023547367945,0.0,500
0.0,0.85,0.5,3000,linear_lag,0.4205737180791768,0.0005737180791768689,0.04474719816210988,0.029263852610885932,0.942,259.7786596850308,0.0,500
0.5,0.0,0.05,1200,flexible_crossfit,-2.3570269570564277,-2.7770269570564277,58.039811151519615,0.4848881443468849,0.976,0.9988557489116973,0.984,500
0.5,0.0,0.05,1200,linear_lag,0.7557120162487501,0.33571201624875,5.2772815020429755,0.47907400734880384,0.978,0.9707262920074354,0.986,500
0.5,0.0,0.05,3000,flexible_crossfit,0.9017544645055193,0.4817544645055193,11.089927308802231,0.3125244496386542,0.964,2.503527874019504,0.936,500
0.5,0.0,0.05,3000,linear_lag,0.527207587001521,0.10720758700152097,3.146887046536138,0.31394398005618906,0.966,2.538139262975422,0.938,500
0.5,0.0,0.2,1200,flexible_crossfit,0.3912233903665937,-0.02877660963340629,0.21489745160928062,0.1259263990820266,0.952,15.250321163914023,0.234,500
0.5,0.0,0.2,1200,linear_lag,0.39139560580489335,-0.02860439419510662,0.21209251206325494,0.12587927389602718,0.958,15.505800490028722,0.218,500
0.5,0.0,0.2,3000,flexible_crossfit,0.4159026215792691,-0.004097378420730851,0.11891561286099415,0.0783491435204462,0.956,38.93290848779513,0.0,500
